,artist,track,length,genre,date_entered,date_peaked,1st_week,2nd_week,3rd_week,4th_week,5th_week,6th_week,7th_week,8th_week,9th_week,10th_week,11th_week,12th_week,13th_week,14th_week,15th_week,16th_week,17th_week,18th_week,19th_week,20th_week,21st_week,22nd_week,23rd_week,24th_week,25th_week,26th_week,27th_week,28th_week,29th_week,30th_week,31st_week,32nd_week,33rd_week,34th_week,35th_week,36th_week,37th_week,38th_week,39th_week,40th_week,41st_week,42nd_week,43rd_week,44th_week,45th_week,46th_week,47th_week,48th_week,49th_week,50th_week,51st_week,52nd_week,53rd_week,54th_week,55th_week,56th_week,57th_week,58th_week,59th_week,60th_week,61st_week,62nd_week,63rd_week,64th_week,65th_week,weeks_on_chart,best_ranking
65,Red Hot Chili Peppers,Otherside,4.21666666667,Rock,2000-02-12,2000-05-27,80.0,72.0,65.0,52.0,51.0,49.0,40.0,37.0,32.0,29.0,29.0,29.0,29.0,24.0,18.0,14.0,15.0,16.0,19.0,22.0,29.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,14.0
66,Profyle,Liar,3.95,R&B,2000-09-16,2000-10-28,52.0,32.0,25.0,17.0,16.0,16.0,14.0,19.0,24.0,33.0,35.0,43.0,54.0,61.0,69.0,75.0,86.0,81.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.0
67,Barenaked Ladies,Pinch Me,3.76666666667,Rock,2000-09-09,2000-11-25,77.0,76.0,69.0,45.0,51.0,37.0,33.0,29.0,26.0,25.0,16.0,15.0,15.0,19.0,19.0,20.0,22.0,20.0,21.0,34.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,15.0
68,Jagged Edge,He Can't Love U,3.5,Rock,1999-12-11,2000-01-08,54.0,32.0,17.0,17.0,15.0,18.0,18.0,18.0,18.0,25.0,24.0,24.0,26.0,33.0,44.0,51.0,53.0,65.0,69.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.0
69,504 Boyz,Wobble Wobble,3.58333333333,Rap,2000-04-15,2000-05-06,57.0,34.0,25.0,17.0,17.0,31.0,36.0,49.0,53.0,57.0,64.0,70.0,75.0,76.0,78.0,85.0,92.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17.0
70,Sting,Desert Rose,3.86666666667,Rock,2000-05-13,2000-08-26,98.0,88.0,72.0,59.0,55.0,52.0,45.0,35.0,24.0,21.0,19.0,19.0,19.0,19.0,18.0,17.0,19.0,19.0,24.0,26.0,30.0,32.0,42.0,45.0,42.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,17.0
71,Jay-Z,Big Pimpin',3.91666666667,Rap,2000-04-22,2000-07-08,69.0,52.0,39.0,33.0,28.0,25.0,25.0,23.0,20.0,19.0,21.0,18.0,20.0,20.0,26.0,29.0,35.0,33.0,41.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.0
72,Kid Rock,Only God Knows Why,5.45,Rock,2000-02-19,2000-04-15,63.0,47.0,46.0,39.0,35.0,26.0,26.0,23.0,19.0,19.0,21.0,25.0,25.0,29.0,32.0,44.0,52.0,62.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.0
73,Foo Fighters,Learn To Fly,3.91666666667,Rock,1999-10-16,2000-01-22,80.0,69.0,68.0,63.0,60.0,52.0,42.0,32.0,30.0,25.0,22.0,22.0,26.0,20.0,19.0,20.0,26.0,30.0,35.0,42.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19.0
74,"Dixie Chicks, The",Goodbye Earl,4.31666666667,Country,2000-03-18,2000-05-06,40.0,29.0,24.0,24.0,20.0,20.0,20.0,19.0,38.0,61.0,86.0,88.0,96.0,96.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,19.0
75,Guy,Dancin',4.13333333333,R&B,1999-12-18,2000-01-01,46.0,29.0,19.0,22.0,36.0,44.0,58.0,58.0,68.0,75.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,19.0
76,Lil Bow Wow,Bounce With Me,3.36666666667,Rap,2000-08-19,2000-09-16,48.0,35.0,24.0,24.0,20.0,20.0,20.0,20.0,22.0,27.0,27.0,36.0,40.0,53.0,61.0,69.0,80.0,90.0,99.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.0
77,Westlife,Swear It Again,4.11666666667,Rock,2000-04-01,2000-07-01,96.0,82.0,66.0,55.0,55.0,46.0,44.0,44.0,37.0,35.0,32.0,25.0,21.0,20.0,20.0,25.0,30.0,33.0,45.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.0
78,Train,Meet Virginia,3.91666666667,Rock,1999-10-09,2000-01-22,76.0,67.0,59.0,54.0,48.0,45.0,40.0,32.0,26.0,24.0,22.0,21.0,21.0,24.0,21.0,20.0,21.0,24.0,28.0,30.0,32.0,37.0,37.0,42.0,46.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,20.0
79,"Thomas, Carl",I Wish,3.83333333333,Rock,2000-03-25,2000-05-13,75.0,64.0,48.0,39.0,32.0,28.0,24.0,20.0,22.0,21.0,22.0,26.0,23.0,24.0,27.0,28.0,42.0,44.0,52.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20.0
80,Hanson,This Time Around,4.23333333333,Country,2000-04-22,2000-05-06,22.0,22.0,20.0,45.0,87.0,71.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,20.0
81,"Simpson, Jessica",I Think I'm In Love With You,3.53333333333,Pop,2000-07-01,2000-08-12,63.0,52.0,44.0,29.0,25.0,23.0,21.0,21.0,21.0,27.0,38.0,38.0,57.0,74.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21.0
82,Ludacris,What's Your Fantasy,4.26666666667,Rap,2000-09-30,2000-12-16,89.0,83.0,63.0,55.0,49.0,40.0,33.0,32.0,30.0,25.0,22.0,21.0,24.0,24.0,24.0,27.0,25.0,34.0,32.0,35.0,41.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,21.0
83,Lil' Zane,Callin' Me,3.71666666667,Rap,2000-07-29,2000-09-02,83.0,89.0,57.0,40.0,34.0,21.0,33.0,46.0,45.0,59.0,67.0,84.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21.0
84,M2M,Don't Say You Love Me,3.68333333333,Pop,1999-11-20,2000-01-08,72.0,53.0,62.0,46.0,54.0,44.0,44.0,21.0,64.0,92.0,98.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,21.0
85,SoulDecision,Faded,3.41666666667,Rock,2000-07-08,2000-09-09,94.0,90.0,81.0,64.0,56.0,43.0,35.0,27.0,25.0,22.0,22.0,27.0,27.0,27.0,31.0,31.0,30.0,34.0,31.0,34.0,34.0,38.0,45.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,22.0
86,"Brock, Chad",Yes!,3.36666666667,Country,2000-04-08,2000-07-01,90.0,77.0,66.0,61.0,59.0,47.0,39.0,33.0,32.0,31.0,28.0,27.0,22.0,27.0,31.0,39.0,45.0,50.0,53.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22.0
87,"Martin, Ricky",Shake Your Bon-Bon,3.13333333333,Latin,1999-11-20,2000-02-12,74.0,66.0,52.0,39.0,39.0,39.0,39.0,46.0,47.0,54.0,91.0,28.0,22.0,33.0,46.0,70.0,87.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,22.0
88,Vertical Horizon,You're A God,3.75,Rock,2000-08-26,2000-11-04,64.0,55.0,43.0,41.0,37.0,31.0,30.0,29.0,28.0,26.0,23.0,23.0,25.0,32.0,32.0,37.0,37.0,41.0,46.0,48.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23.0
89,Avant,Separated,4.21666666667,Rock,2000-04-29,2000-05-20,62.0,32.0,30.0,23.0,26.0,30.0,35.0,32.0,32.0,25.0,23.0,28.0,27.0,29.0,27.0,31.0,31.0,33.0,40.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23.0
90,"Rimes, LeAnn",Big Deal,3.05,Country,1999-10-16,2000-01-01,71.0,52.0,51.0,51.0,51.0,48.0,41.0,37.0,29.0,26.0,26.0,23.0,30.0,28.0,27.0,25.0,31.0,43.0,56.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23.0
91,IMx,Stay The Night,3.61666666667,Rap,1999-10-09,2000-01-08,84.0,61.0,45.0,43.0,40.0,38.0,36.0,31.0,34.0,34.0,40.0,36.0,36.0,23.0,41.0,62.0,70.0,71.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23.0
92,Dr. Dre,The Next Episode,2.63333333333,Rap,2000-05-27,2000-07-29,78.0,67.0,58.0,53.0,46.0,41.0,32.0,27.0,26.0,23.0,26.0,27.0,32.0,32.0,44.0,46.0,47.0,50.0,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23.0
93,"Spears, Britney",Lucky,3.38333333333,Rock,2000-08-12,2000-09-09,61.0,41.0,28.0,26.0,23.0,29.0,30.0,40.0,66.0,86.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,23.0
94,Savage Garden,Crash And Burn,4.68333333333,Rock,2000-04-08,2000-05-27,75.0,58.0,51.0,36.0,33.0,31.0,26.0,24.0,24.0,29.0,34.0,39.0,46.0,47.0,48.0,49.0,58.0,63.0,73.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24.0
95,Kandi,Don't Think I'm Not,3.83333333333,Rock,2000-08-05,2000-10-07,66.0,66.0,66.0,61.0,49.0,42.0,36.0,33.0,28.0,24.0,26.0,26.0,28.0,29.0,27.0,31.0,31.0,26.0,25.0,25.0,30.0,40.0,36.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24.0
96,Sammie,I Like It,4.15,Rock,2000-01-29,2000-04-15,85.0,68.0,58.0,44.0,40.0,33.0,30.0,29.0,37.0,29.0,29.0,24.0,36.0,46.0,52.0,61.0,83.0,93.0,91.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24.0
97,Goo Goo Dolls,Broadway,3.9,Rock,2000-04-22,2000-07-01,74.0,58.0,53.0,42.0,35.0,31.0,29.0,25.0,29.0,26.0,24.0,33.0,46.0,48.0,57.0,62.0,74.0,82.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,24.0
98,"Moore, Mandy",I Wanna Be With You,4.2,Pop,2000-06-17,2000-08-12,69.0,63.0,54.0,50.0,45.0,42.0,31.0,28.0,24.0,34.0,42.0,53.0,65.0,66.0,77.0,94.0,99.0,,,,,93.0,91.0,91.0,90.0,89.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,24.0
99,Dr. Dre,Forgot About Dre,3.7,Rap,2000-01-22,2000-03-25,75.0,55.0,47.0,36.0,36.0,30.0,30.0,31.0,26.0,25.0,25.0,26.0,26.0,28.0,34.0,47.0,58.0,68.0,80.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25.0
100,D'Angelo,Untitled (How Does It Feel),7.16666666667,R&B,2000-01-22,2000-02-19,77.0,56.0,35.0,26.0,25.0,25.0,28.0,28.0,31.0,35.0,39.0,44.0,51.0,60.0,73.0,79.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,25.0
101,"Messina, Jo Dee",That's The Way,3.28333333333,Country,2000-06-24,2000-08-26,78.0,67.0,63.0,54.0,50.0,44.0,38.0,30.0,27.0,25.0,31.0,28.0,30.0,28.0,32.0,35.0,48.0,46.0,51.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,25.0
102,Avant,My First Love,4.46666666667,Rock,2000-11-04,2000-12-16,70.0,62.0,56.0,43.0,39.0,33.0,26.0,26.0,26.0,31.0,32.0,31.0,38.0,38.0,52.0,57.0,64.0,73.0,81.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26.0
103,Son By Four,A Puro Dolor (Purest Of Pain),3.5,Latin,2000-04-08,2000-08-19,80.0,80.0,80.0,79.0,72.0,73.0,65.0,64.0,60.0,60.0,48.0,48.0,48.0,43.0,35.0,32.0,30.0,32.0,37.0,26.0,31.0,28.0,30.0,32.0,39.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26.0
104,Da Brat,What'Chu Like,3.95,Rap,2000-06-03,2000-08-12,71.0,65.0,54.0,54.0,51.0,41.0,41.0,33.0,28.0,31.0,26.0,28.0,36.0,39.0,49.0,58.0,62.0,65.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,26.0
105,DMX,Party Up (Up In Here),3.75,Rap,2000-02-26,2000-04-22,88.0,74.0,62.0,56.0,49.0,44.0,38.0,32.0,27.0,27.0,27.0,27.0,27.0,28.0,28.0,33.0,35.0,42.0,44.0,46.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,27.0
106,"Dixie Chicks, The",Cowboy Take Me Away,4.85,Country,1999-11-27,2000-01-29,79.0,72.0,70.0,61.0,52.0,52.0,52.0,39.0,31.0,27.0,27.0,27.0,31.0,37.0,40.0,47.0,51.0,56.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27.0
107,"McGraw, Tim",My Next Thirty Years,3.61666666667,Country,2000-10-21,2000-12-16,73.0,62.0,56.0,52.0,46.0,40.0,36.0,31.0,27.0,27.0,28.0,40.0,33.0,33.0,39.0,40.0,48.0,53.0,58.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27.0
108,"Tritt, Travis",Best Of Intentions,4.25,Country,2000-08-19,2000-12-02,97.0,86.0,79.0,70.0,63.0,56.0,50.0,48.0,51.0,38.0,33.0,31.0,28.0,28.0,28.0,27.0,29.0,31.0,37.0,45.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,27.0
109,Alice Deejay,Better Off Alone,6.83333333333,Electronica,2000-04-08,2000-06-03,79.0,65.0,53.0,48.0,45.0,36.0,34.0,29.0,27.0,30.0,36.0,37.0,39.0,49.0,57.0,63.0,65.0,68.0,79.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27.0
110,Hoku,Another Dumb Blonde,3.78333333333,Pop,2000-02-19,2000-04-08,69.0,49.0,49.0,34.0,34.0,34.0,30.0,27.0,36.0,41.0,53.0,56.0,80.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,27.0
111,"Houston, Whitney",I Learned From The Best,4.3,Rock,2000-02-19,2000-03-25,83.0,83.0,83.0,40.0,28.0,27.0,28.0,36.0,53.0,73.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,27.0
112,Counting Crows,Hanginaround,4.11666666667,Rock,1999-11-06,2000-01-29,84.0,70.0,66.0,60.0,46.0,37.0,35.0,35.0,35.0,32.0,29.0,29.0,28.0,32.0,38.0,48.0,56.0,59.0,61.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28.0
113,Mary Mary,Shackles (Praise You),3.2,Rock,2000-03-25,2000-05-13,90.0,76.0,72.0,54.0,43.0,37.0,34.0,28.0,33.0,30.0,31.0,39.0,43.0,53.0,60.0,70.0,71.0,76.0,84.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,28.0
114,"Carey, Mariah",Crybaby,5.31666666667,Rock,2000-06-24,2000-06-24,28.0,34.0,48.0,62.0,77.0,90.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,28.0
115,"McGraw, Tim",My Best Friend,4.55,Country,1999-11-27,2000-01-29,85.0,76.0,71.0,64.0,54.0,54.0,55.0,46.0,38.0,29.0,29.0,33.0,32.0,31.0,36.0,38.0,39.0,41.0,46.0,49.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,29.0
116,Sugar Ray,Falls Apart,4.25,Rock,2000-01-15,2000-02-19,70.0,64.0,54.0,40.0,34.0,29.0,29.0,32.0,32.0,37.0,47.0,49.0,52.0,60.0,76.0,80.0,89.0,97.0,98.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29.0
117,Madonna,American Pie,4.5,Rock,2000-02-19,2000-03-04,43.0,35.0,29.0,29.0,33.0,32.0,40.0,58.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,29.0
118,"Jones, Donell",Where I Wanna Be,6.36666666667,Rock,2000-04-22,2000-07-08,81.0,71.0,65.0,50.0,41.0,41.0,36.0,41.0,38.0,35.0,33.0,29.0,36.0,34.0,34.0,40.0,42.0,49.0,55.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29.0
119,"Paisley, Brad",We Danced,3.75,Country,2000-10-14,2000-12-16,71.0,68.0,52.0,52.0,45.0,42.0,39.0,34.0,34.0,29.0,36.0,42.0,55.0,53.0,57.0,64.0,72.0,84.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29.0
120,Lonestar,What About Now,3.5,Country,2000-06-10,2000-08-19,78.0,72.0,66.0,64.0,56.0,50.0,47.0,39.0,37.0,34.0,30.0,30.0,35.0,36.0,37.0,43.0,54.0,60.0,61.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,30.0
121,"Backstreet Boys, The",The One,3.76666666667,Rock,2000-05-27,2000-07-01,58.0,50.0,43.0,37.0,31.0,30.0,39.0,47.0,55.0,61.0,76.0,90.0,93.0,93.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30.0
122,"Keith, Toby",How Do You Like Me Now?!,3.48333333333,Country,2000-01-29,2000-04-08,77.0,72.0,59.0,53.0,45.0,43.0,41.0,36.0,36.0,32.0,31.0,31.0,35.0,35.0,38.0,43.0,45.0,51.0,52.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31.0
123,"Strait, George",The Best Day,3.4,Country,2000-01-29,2000-04-22,73.0,64.0,54.0,45.0,44.0,44.0,44.0,41.0,39.0,34.0,33.0,33.0,31.0,33.0,36.0,39.0,43.0,49.0,53.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31.0
124,"Dixie Chicks, The",Without You,3.53333333333,Country,2000-10-07,2000-12-23,80.0,70.0,63.0,56.0,50.0,49.0,48.0,46.0,41.0,40.0,35.0,31.0,33.0,44.0,36.0,35.0,37.0,43.0,51.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31.0
125,Musiq,Just Friends (Sunny),4.03333333333,Rap,2000-10-14,2000-12-30,89.0,83.0,65.0,55.0,54.0,54.0,52.0,44.0,41.0,34.0,32.0,31.0,35.0,34.0,41.0,41.0,48.0,54.0,58.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31.0
126,"McEntire, Reba",What Do You Say,3.43333333333,Country,1999-10-30,2000-01-29,88.0,76.0,71.0,71.0,69.0,63.0,56.0,51.0,46.0,46.0,53.0,43.0,33.0,31.0,34.0,41.0,50.0,60.0,68.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,31.0
127,"Braxton, Toni",Just Be A Man About It,4.16666666667,Rock,2000-07-29,2000-09-02,76.0,69.0,51.0,42.0,37.0,32.0,32.0,34.0,34.0,38.0,50.0,53.0,53.0,63.0,65.0,72.0,79.0,84.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,32.0
128,"Iglesias, Enrique",Rhythm Divine,7.58333333333,Latin,1999-12-04,2000-01-22,90.0,84.0,79.0,67.0,67.0,39.0,33.0,32.0,38.0,38.0,49.0,51.0,61.0,61.0,66.0,88.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,32.0
129,"Fabian, Lara",I Will Love Again,3.71666666667,Pop,2000-06-10,2000-08-12,91.0,80.0,75.0,61.0,60.0,52.0,45.0,40.0,36.0,32.0,37.0,45.0,68.0,80.0,80.0,89.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,32.0
130,Bon Jovi,It's My Life,3.73333333333,Rock,2000-08-12,2000-09-30,64.0,58.0,51.0,51.0,48.0,45.0,36.0,33.0,34.0,34.0,35.0,34.0,39.0,44.0,51.0,58.0,61.0,84.0,85.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,33.0
131,"Evans, Sara",Born To Fly,5.6,Country,2000-10-21,2000-12-30,77.0,71.0,64.0,57.0,55.0,51.0,46.0,44.0,36.0,39.0,34.0,46.0,44.0,36.0,42.0,53.0,58.0,74.0,81.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,34.0
132,"Chesney, Kenny",I Lost It,3.9,Country,2000-10-21,2000-12-23,75.0,67.0,61.0,58.0,58.0,53.0,47.0,47.0,40.0,34.0,36.0,45.0,42.0,45.0,60.0,70.0,82.0,88.0,89.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,34.0
133,J-Shin,One Night Stand,4.56666666667,R&B,1999-12-25,2000-02-26,96.0,96.0,69.0,74.0,72.0,62.0,49.0,45.0,38.0,34.0,38.0,45.0,47.0,58.0,68.0,88.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,34.0
134,Eve,Love Is Blind,3.85,Rap,2000-01-08,2000-02-19,94.0,91.0,57.0,46.0,46.0,40.0,34.0,39.0,42.0,46.0,50.0,59.0,66.0,78.0,87.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,34.0
135,Aaliyah,I Don't Wanna,4.25,Rock,2000-01-29,2000-03-04,84.0,62.0,51.0,41.0,38.0,35.0,35.0,38.0,38.0,36.0,37.0,37.0,38.0,49.0,61.0,63.0,62.0,67.0,83.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,35.0
136,"Montgomery, John Michael",The Little Girl,3.86666666667,Country,2000-09-09,2000-10-28,81.0,67.0,64.0,56.0,45.0,41.0,41.0,35.0,35.0,38.0,37.0,42.0,45.0,50.0,57.0,63.0,62.0,83.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,35.0
137,"Carter, Aaron",Aaron's Party (Come Get It),3.38333333333,R&B,2000-08-26,2000-09-16,99.0,75.0,57.0,35.0,35.0,37.0,43.0,79.0,51.0,55.0,67.0,83.0,86.0,92.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,35.0
138,"Vassar, Phil",Just Another Day In Paradise,3.9,Country,2000-09-30,2000-12-02,81.0,81.0,76.0,67.0,53.0,46.0,43.0,38.0,36.0,35.0,43.0,41.0,46.0,51.0,62.0,58.0,63.0,70.0,74.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,35.0
139,Ice Cube,You Can Do It,4.33333333333,Rap,1999-12-04,2000-01-15,86.0,66.0,50.0,42.0,42.0,40.0,35.0,46.0,45.0,54.0,73.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,35.0
140,"Wills, Mark",Back At One,4.0,Country,2000-01-15,2000-02-26,89.0,55.0,51.0,43.0,37.0,37.0,36.0,39.0,42.0,46.0,45.0,52.0,64.0,74.0,84.0,90.0,94.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,36.0
141,Lucy Pearl,Dance Tonight,3.75,R&B,2000-05-20,2000-07-29,80.0,75.0,63.0,59.0,55.0,49.0,42.0,42.0,40.0,40.0,36.0,43.0,46.0,54.0,72.0,84.0,84.0,86.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,36.0
