artist.inverted,track,genre,Ranking,genre
2 Pac,Baby Don't Cry (Keep Ya Head Up II),Rap,72.0,Rap
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),R&B,87.0,R&B
3 Doors Down,Kryptonite,Rock,3.0,Rock
3 Doors Down,Loser,Rock,55.0,Rock
504 Boyz,Wobble Wobble,Rap,17.0,Rap
98¡,Give Me Just One Night (Una Noche),Rock,2.0,Rock
A*Teens,Dancing Queen,Pop,95.0,Pop
Aaliyah,I Don't Wanna,Rock,35.0,Rock
Aaliyah,Try Again,Rock,1.0,Rock
"Adams, Yolanda",Open My Heart,Gospel,57.0,Gospel
"Adkins, Trace",More,Country,65.0,Country
"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,1.0,Rock
"Aguilera, Christina",I Turn To You,Rock,3.0,Rock
"Aguilera, Christina",What A Girl Wants,Rock,1.0,Rock
Alice Deejay,Better Off Alone,Electronica,27.0,Electronica
"Allan, Gary",Smoke Rings In The Dark,Country,76.0,Country
Amber,Sexual (Li Da Di),Rock,42.0,Rock
Anastacia,I'm Outta Love,Pop,92.0,Pop
"Anthony, Marc",My Baby You,Latin,70.0,Latin
"Anthony, Marc",You Sang To Me,Latin,2.0,Latin
Avant,My First Love,Rock,26.0,Rock
Avant,Separated,Rock,23.0,Rock
BBMak,Back Here,Rock,13.0,Rock
"Backstreet Boys, The",Shape Of My Heart,Rock,9.0,Rock
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,6.0,Rock
"Backstreet Boys, The",The One,Rock,30.0,Rock
"Badu, Erkyah",Bag Lady,Rock,6.0,Rock
Baha Men,Who Let The Dogs Out,R&B,40.0,R&B
Barenaked Ladies,Pinch Me,Rock,15.0,Rock
Beenie Man,Girls Dem Sugar,Reggae,54.0,Reggae
Before Dark,Monica,Rock,77.0,Rock
"Bega, Lou",Tricky Tricky ,Rock,74.0,Rock
Big Punisher,It's So Hard,Rap,75.0,Rap
Black Rob,Whoa!,Rap,43.0,Rap
"Black, Clint",Been There,Country,44.0,Country
Blaque,Bring It All To Me,Pop,5.0,Pop
"Blige, Mary J.",Deep Inside,Rock,63.0,Rock
"Blige, Mary J.",Give Me You,Rock,68.0,Rock
Blink-182,All The Small Things,Rock,6.0,Rock
Bloodhound Gang,The Bad Touch,R&B,52.0,R&B
Bon Jovi,It's My Life,Rock,33.0,Rock
"Braxton, Toni",He Wasn't Man Enough,Rock,2.0,Rock
"Braxton, Toni",Just Be A Man About It,Rock,32.0,Rock
"Braxton, Toni",Spanish Guitar,Rock,98.0,Rock
"Brock, Chad",A Country Boy Can Survive,Country,75.0,Country
"Brock, Chad",Yes!,Country,22.0,Country
Brooks & Dunn,You'll Always Be Loved By Me,Country,55.0,Country
"Brooks, Garth",Do What You Gotta Do,Country,69.0,Country
"Byrd, Tracy",Put Your Hand In Mine,Country,76.0,Country
"Cagle, Chris",My Love Goes On And On,Country,76.0,Country
Cam'ron,What Means The World To You,Rap,83.0,Rap
"Carey, Mariah",Crybaby,Rock,28.0,Rock
"Carey, Mariah",Thank God I Found You,Rock,1.0,Rock
"Carter, Aaron",Aaron's Party (Come Get It),R&B,35.0,R&B
"Carter, Torrey",Take That,Rock,86.0,Rock
Changing Faces,That Other Woman,Rock,64.0,Rock
"Chesney, Kenny",I Lost It,Country,34.0,Country
"Chesney, Kenny",What I Need To Do,Country,56.0,Country
Clark Family Experience,Meanwhile Back At The Ranch,Country,80.0,Country
"Clark, Terri",A Little Gasoline,Country,75.0,Country
Common,The Light,Rap,44.0,Rap
Counting Crows,Hanginaround,Rock,28.0,Rock
Creed,Higher,Rock,7.0,Rock
Creed,With Arms Wide Open,Rock,1.0,Rock
"Cyrus, Billy Ray",You Won't Be Lonely Now,Country,80.0,Country
D'Angelo,Left & Right,R&B,70.0,R&B
D'Angelo,Untitled (How Does It Feel),R&B,25.0,R&B
DMX,Party Up (Up In Here),Rap,27.0,Rap
DMX,What You Want,Rap,49.0,Rap
DMX,What's My Name,Rap,67.0,Rap
Da Brat,That's What I'm Looking For,Rap,56.0,Rap
Da Brat,What'Chu Like,Rap,26.0,Rap
"Davidson, Clay",Unconditional,Country,49.0,Country
De La Soul,All Good?,Rap,96.0,Rap
Destiny's Child,Independent Women Part I,Rock,1.0,Rock
Destiny's Child,Jumpin' Jumpin',Rock,3.0,Rock
Destiny's Child,Say My Name,Rock,1.0,Rock
"Diffie, Joe",It's Always Somethin',Country,57.0,Country
"Diffie, Joe",The Quittin' Kind,Country,90.0,Country
"Dion, Celine",That's The Way It Is,Rock,6.0,Rock
"Dixie Chicks, The",Cold Day In July,Country,65.0,Country
"Dixie Chicks, The",Cowboy Take Me Away,Country,27.0,Country
"Dixie Chicks, The",Goodbye Earl,Country,19.0,Country
"Dixie Chicks, The",Without You,Country,31.0,Country
Dr. Dre,Forgot About Dre,Rap,25.0,Rap
Dr. Dre,The Next Episode,Rap,23.0,Rap
Drama,"Left, Right, Left",Rap,73.0,Rap
Dream,He Loves U Not,Rock,2.0,Rock
"Eastsidaz, The",G'D Up,Rap,47.0,Rap
"Eastsidaz, The",Got Beef,Rap,99.0,Rap
Eiffel 65,Blue (Da Ba Dee),Electronica,6.0,Electronica
"Elliott, Missy ""Misdemeanor""",Hot Boyz,Rap,5.0,Rap
Eminem,Stan,Rap,51.0,Rap
Eminem,The Real Slim Shady,Rap,4.0,Rap
Eminem,The Way I Am,Rap,58.0,Rap
En Vogue,Riddle,Rock,92.0,Rock
"Estefan, Gloria",No Me Dejes De Querer,Rock,77.0,Rock
"Evans, Sara",Born To Fly,Country,34.0,Country
Eve,Got It All,Rap,88.0,Rap
Eve,Love Is Blind,Rap,34.0,Rap
Everclear,Wonderful,Rock,11.0,Rock
"Fabian, Lara",I Will Love Again,Pop,32.0,Pop
Fatboy Slim,The Rockafeller Skank,Electronica,76.0,Electronica
Filter,Take A Picture,Rock,12.0,Rock
Foo Fighters,Learn To Fly,Rock,19.0,Rock
Fragma,Toca's Miracle,R&B,99.0,R&B
Funkmaster Flex,Do You,Rap,91.0,Rap
Ghostface Killah,Cherchez LaGhost,R&B,98.0,R&B
"Gill, Vince",Feels Like Love,Country,52.0,Country
"Gilman, Billy",One Voice,Country,38.0,Country
Ginuwine,None Of Ur Friends Business,Rock,48.0,Rock
Ginuwine,The Best Man I Can Be,Rock,77.0,Rock
Goo Goo Dolls,Broadway,Rock,24.0,Rock
"Gray, Macy",I Try,Rock,5.0,Rock
"Griggs, Andy",She's More,Country,37.0,Country
Guy,Dancin',R&B,19.0,R&B
Hanson,This Time Around,Country,20.0,Country
"Hart, Beth",L.A. Song,Country,90.0,Country
"Heatherly, Eric",Flowers On The Wall,Country,50.0,Country
"Henley, Don",Taking You Home,Rock,58.0,Rock
"Herndon, Ty",No Mercy,Country,92.0,Country
"Hill, Faith",Breathe,Rap,2.0,Rap
"Hill, Faith",Let's Make Love,Rap,54.0,Rap
Hoku,Another Dumb Blonde,Pop,27.0,Pop
"Hollister, Dave",Can't Stay,Rock,84.0,Rock
Hot Boys,I Need A Hot Girl,Rap,65.0,Rap
"Houston, Whitney",Could I Have This Kiss Forever,Rock,52.0,Rock
"Houston, Whitney",I Learned From The Best,Rock,27.0,Rock
"Houston, Whitney",My Love Is Your Love,Rock,4.0,Rock
"Houston, Whitney","Same Script, Different Cast",Rock,70.0,Rock
IMx,Stay The Night,Rap,23.0,Rap
Ice Cube,You Can Do It,Rap,35.0,Rap
Ideal,Whatever,R&B,47.0,R&B
"Iglesias, Enrique",Be With You,Latin,1.0,Latin
"Iglesias, Enrique",Rhythm Divine,Latin,32.0,Latin
J-Shin,One Night Stand,R&B,34.0,R&B
Ja Rule,Between Me And You,Rap,11.0,Rap
"Jackson, Alan",It Must Be Love,Country,37.0,Country
"Jackson, Alan",Pop A Top,Country,43.0,Country
"Jackson, Alan",www.memory,Country,45.0,Country
Jagged Edge,He Can't Love U,Rock,15.0,Rock
Jagged Edge,Let's Get Married,Rock,11.0,Rock
Janet,Doesn't Really Matter,Rock,1.0,Rock
Jay-Z,Anything,Rap,55.0,Rap
Jay-Z,Big Pimpin',Rap,18.0,Rap
Jay-Z,Do It Again (Put Ya Hands Up),Rap,65.0,Rap
Jay-Z,Hey Papi,Rap,76.0,Rap
Jay-Z,I Just Wanna Love U (Give It 2 Me),Rap,11.0,Rap
"Jean, Wyclef",911,Rap,38.0,Rap
Joe,I Wanna Know,Rock,4.0,Rock
Joe,Treat Her Like A Lady,Rock,63.0,Rock
"John, Elton",Someday Out Of The Blue,Rock,49.0,Rock
"Jones, Donell",Where I Wanna Be,Rock,29.0,Rock
"Jordan, Montell",Get It On.. Tonite,Rap,4.0,Rap
Juvenile,U Understand,Rap,83.0,Rap
Kandi,Don't Think I'm Not,Rock,24.0,Rock
"Keith, Toby",Country Comes To Town,Country,54.0,Country
"Keith, Toby",How Do You Like Me Now?!,Country,31.0,Country
Kelis,Caught Out There,R&B,54.0,R&B
Kenny G,Auld Lang Syne (The Millenium Mix),Jazz,7.0,Jazz
Kid Rock,Only God Knows Why,Rock,19.0,Rock
"Kravitz, Lenny",I Belong To You,Rock,71.0,Rock
Kumbia Kings,U Don't Love Me,R&B,62.0,R&B
LFO,I Don't Wanna Kiss You Goodnight,Rock,61.0,Rock
LFO,West Side Story,Rock,84.0,Rock
LL Cool J,Imagine That,Rap,98.0,Rap
"Larrieux, Amel",Get Up,R&B,97.0,R&B
"Lawrence, Tracy",Lessons Learned,Country,40.0,Country
"Levert, Gerald",Baby U Are,R&B,89.0,R&B
"Levert, Gerald",Mr. Too Damn Good,R&B,76.0,R&B
Lil Bow Wow,Bounce With Me,Rap,20.0,Rap
Lil Wayne,Tha Block Is Hot,Rap,72.0,Rap
Lil' Kim,How Many Licks?,Rap,75.0,Rap
Lil' Kim,No Matter What They Say,Rap,60.0,Rap
Lil' Mo,Ta Da,Rap,95.0,Rap
Lil' Zane,Callin' Me,Rap,21.0,Rap
Limp Bizkit,N 2 Gether Now,Rock,73.0,Rock
Limp Bizkit,Re-Arranged,Rock,88.0,Rock
Limp Bizkit,Rollin',Rock,65.0,Rock
Lonestar,Amazed,Country,1.0,Country
Lonestar,Smile,Country,39.0,Country
Lonestar,What About Now,Country,30.0,Country
"Lopez, Jennifer",Feelin' Good,Latin,51.0,Latin
"Loveless, Patty",That's The Kind Of Mood I'm In,Country,71.0,Country
Lox,"Ryde or Die, Chick",Rap,73.0,Rap
Lucy Pearl,Dance Tonight,R&B,36.0,R&B
Ludacris,What's Your Fantasy,Rap,21.0,Rap
M2M,Don't Say You Love Me,Pop,21.0,Pop
M2M,Mirror Mirror,Pop,62.0,Pop
Madison Avenue,Don't Call Me Baby,Electronica,88.0,Electronica
Madonna,American Pie,Rock,29.0,Rock
Madonna,Music,Rock,1.0,Rock
"Martin, Ricky",Private Emotion,Latin,67.0,Latin
"Martin, Ricky",Shake Your Bon-Bon,Latin,22.0,Latin
"Martin, Ricky",She Bangs,Latin,12.0,Latin
Mary Mary,Shackles (Praise You),Rock,28.0,Rock
Master P,Souljas,Rap,98.0,Rap
"McBride, Martina",Love's The Only House,Country,42.0,Country
"McBride, Martina",There You Are,Country,60.0,Country
"McEntire, Reba",I'll Be,Country,51.0,Country
"McEntire, Reba",What Do You Say,Country,31.0,Country
"McGraw, Tim",My Best Friend,Country,29.0,Country
"McGraw, Tim",My Next Thirty Years,Country,27.0,Country
"McGraw, Tim",Some Things Never Change,Country,58.0,Country
"McKnight, Brian",Stay Or Let It Go,Rock,76.0,Rock
"Messina, Jo Dee",Because You Love Me,Country,53.0,Country
"Messina, Jo Dee",That's The Way,Country,25.0,Country
Metallica,I Disappear,Rock,76.0,Rock
Metallica,No Leaf Clover (Live),Rock,74.0,Rock
Montgomery Gentry,Daddy Won't Sell The Farm,Country,79.0,Country
"Montgomery, John Michael",The Little Girl,Country,35.0,Country
"Moore, Chante",Straight Up,Rock,83.0,Rock
"Moore, Mandy",I Wanna Be With You,Pop,24.0,Pop
"Mumba, Samantha",Gotta Tell You,Rock,4.0,Rock
Musiq,Just Friends (Sunny),Rap,31.0,Rap
Mya,Case Of The Ex (Whatcha Gonna Do),Rock,2.0,Rock
Mya,The Best Of Me,Rock,50.0,Rock
Mystikal,Shake Ya Ass,Rap,13.0,Rap
N'Sync,Bye Bye Bye,Rock,4.0,Rock
N'Sync,It's Gonna Be Me,Rock,1.0,Rock
N'Sync,This I Promise You,Rock,5.0,Rock
Nas,You Owe Me,R&B,59.0,R&B
Nelly,(Hot S**t) Country Grammar,Rap,7.0,Rap
Next,Wifey,Rock,7.0,Rock
Nine Days,Absolutely (Story Of A Girl),Rock,6.0,Rock
Nine Days,If I Am,Rock,68.0,Rock
No Doubt,Simple Kind Of Life,Rock,38.0,Rock
Nu Flavor,3 Little Words,R&B,89.0,R&B
"Offspring, The",Original Prankster,Rock,70.0,Rock
"Paisley, Brad",Me Neither,Country,85.0,Country
"Paisley, Brad",We Danced,Country,29.0,Country
Papa Roach,Last Resort,Rock,57.0,Rock
Pearl Jam,Nothing As It Seems,Rock,49.0,Rock
Pink,Most Girls,Rock,4.0,Rock
Pink,There U Go,Rock,7.0,Rock
"Price, Kelly",As We Lay,Rock,64.0,Rock
"Price, Kelly",Love Sets You Free,Rock,91.0,Rock
"Price, Kelly",You Should've Told Me,Rock,64.0,Rock
Profyle,Liar,R&B,14.0,R&B
Puff Daddy,Best Friend,Rap,59.0,Rap
Q-Tip,Breathe And Stop,Rock,71.0,Rock
R.E.M.,The Great Beyond,Rock,57.0,Rock
Rascal Flatts,Prayin' For Daylight,Country,38.0,Country
"Raye, Collin",Couldn't Last A Moment,Country,43.0,Country
Red Hot Chili Peppers,Californication,Rock,69.0,Rock
Red Hot Chili Peppers,Otherside,Rock,14.0,Rock
"Rimes, LeAnn",Big Deal,Country,23.0,Country
"Rimes, LeAnn",Can't Fight The Moonlight,Country,71.0,Country
"Rimes, LeAnn",I Need You,Country,11.0,Country
"Rogers, Kenny",Buy Me A Rose,Country,40.0,Country
Ruff Endz,No More,Rock,5.0,Rock
Sammie,I Like It,Rock,24.0,Rock
Santana,"Maria, Maria",Rock,1.0,Rock
Savage Garden,Crash And Burn,Rock,24.0,Rock
Savage Garden,I Knew I Loved You,Rock,1.0,Rock
SheDaisy,Deck The Halls,Country,61.0,Country
SheDaisy,I Will.. But,Country,43.0,Country
SheDaisy,This Woman Needs,Country,57.0,Country
"Sheist, Shade",Where I Wanna Be,Rap,95.0,Rap
Shyne,Bad Boyz,Rap,57.0,Rap
"Simpson, Jessica",I Think I'm In Love With You,Pop,21.0,Pop
"Simpson, Jessica",Where You Are,Rock,62.0,Rock
Sisqo,Got To Get It,Rock,40.0,Rock
Sisqo,Incomplete,Rock,1.0,Rock
Sisqo,Thong Song,Rock,3.0,Rock
Sister Hazel,Change Your Mind,Rock,59.0,Rock
Smash Mouth,Then The Morning Comes,Rock,11.0,Rock
"Smith, Will",Freakin' It,Rap,99.0,Rap
Son By Four,A Puro Dolor (Purest Of Pain),Latin,26.0,Latin
Sonique,It Feels So Good,Rock,8.0,Rock
SoulDecision,Faded,Rock,22.0,Rock
"Spears, Britney",From The Bottom Of My Broken Heart,Rock,14.0,Rock
"Spears, Britney",Lucky,Rock,23.0,Rock
"Spears, Britney",Oops!.. I Did It Again,Rock,9.0,Rock
"Spencer, Tracie",Still In My Heart,Rock,88.0,Rock
Splender,I Think God Can Explain,R&B,62.0,R&B
Sting,Desert Rose,Rock,17.0,Rock
Stone Temple Pilots,Sour Girl,Rock,78.0,Rock
"Stone, Angie",No More Rain (In This Cloud),R&B,56.0,R&B
"Strait, George",Go On,Country,40.0,Country
"Strait, George",The Best Day,Country,31.0,Country
Sugar Ray,Falls Apart,Rock,29.0,Rock
TLC,Dear Lie,Rock,51.0,Rock
Tamar,If You Don't Wanna Love Me,Rock,89.0,Rock
Tamia,Can't Go For That,Rock,84.0,Rock
Third Eye Blind,Deep Inside Of You,Rock,69.0,Rock
Third Eye Blind,Never Let You Go,Rock,14.0,Rock
"Thomas, Carl",Emotional,Rock,47.0,Rock
"Thomas, Carl",I Wish,Rock,20.0,Rock
"Thomas, Carl",Summer Rain,Rock,80.0,Rock
"Tippin, Aaron",Kiss This,Country,42.0,Country
Train,Meet Virginia,Rock,20.0,Rock
Trick Daddy,Shut Up,Rap,83.0,Rap
Trina,Pull Over,Rap,93.0,Rap
"Tritt, Travis",Best Of Intentions,Country,27.0,Country
Tuesday,I Know,Rock,98.0,Rock
"Urban, Keith",Your Everything,Country,51.0,Country
Usher,Pop Ya Collar,Rock,60.0,Rock
"Vassar, Phil",Carlene,Country,45.0,Country
"Vassar, Phil",Just Another Day In Paradise,Country,35.0,Country
Vertical Horizon,Everything You Want,Rock,1.0,Rock
Vertical Horizon,You're A God,Rock,23.0,Rock
Vitamin C,Graduation (Friends Forever),Rock,38.0,Rock
Vitamin C,The Itch,Rock,45.0,Rock
"Walker, Clay","Live, Laugh, Love",Country,74.0,Country
"Walker, Clay",The Chain Of Love,Country,40.0,Country
"Wallflowers, The",Sleepwalker,Rock,73.0,Rock
Westlife,Swear It Again,Rock,20.0,Rock
"Williams, Robbie",Angels,Rock,53.0,Rock
"Wills, Mark",Back At One,Country,36.0,Country
"Worley, Darryl",When You Need My Love,Country,75.0,Country
"Wright, Chely",It Was,R&B,64.0,R&B
Yankee Grey,Another Nine Minutes,Country,74.0,Country
"Yearwood, Trisha",Real Live Woman,Country,81.0,Country
Ying Yang Twins,Whistle While You Twurk,Rap,74.0,Rap
Zombie Nation,Kernkraft 400,Rock,99.0,Rock
matchbox twenty,Bent,Rock,1.0,Rock
