artist.inverted,track,genre,Ranking
2 Pac,Baby Don't Cry (Keep Ya Head Up II),Rap,7
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),R&B,3
3 Doors Down,Kryptonite,Rock,53
3 Doors Down,Loser,Rock,20
504 Boyz,Wobble Wobble,Rap,18
98¡,Give Me Just One Night (Una Noche),Rock,20
A*Teens,Dancing Queen,Pop,5
Aaliyah,I Don't Wanna,Rock,20
Aaliyah,Try Again,Rock,32
"Adams, Yolanda",Open My Heart,Gospel,20
"Adkins, Trace",More,Country,11
"Aguilera, Christina",Come On Over Baby (All I Want Is You),Rock,21
"Aguilera, Christina",I Turn To You,Rock,22
"Aguilera, Christina",What A Girl Wants,Rock,24
Alice Deejay,Better Off Alone,Electronica,20
"Allan, Gary",Smoke Rings In The Dark,Country,5
Amber,Sexual (Li Da Di),Rock,29
Anastacia,I'm Outta Love,Pop,3
"Anthony, Marc",My Baby You,Latin,20
"Anthony, Marc",You Sang To Me,Latin,32
Avant,My First Love,Rock,20
Avant,Separated,Rock,20
BBMak,Back Here,Rock,31
"Backstreet Boys, The",Shape Of My Heart,Rock,20
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,Rock,24
"Backstreet Boys, The",The One,Rock,15
"Badu, Erkyah",Bag Lady,Rock,20
Baha Men,Who Let The Dogs Out,R&B,20
Barenaked Ladies,Pinch Me,Rock,21
Beenie Man,Girls Dem Sugar,Reggae,15
Before Dark,Monica,Rock,9
"Bega, Lou",Tricky Tricky ,Rock,3
Big Punisher,It's So Hard,Rap,15
Black Rob,Whoa!,Rap,17
"Black, Clint",Been There,Country,20
Blaque,Bring It All To Me,Pop,29
"Blige, Mary J.",Deep Inside,Rock,15
"Blige, Mary J.",Give Me You,Rock,9
Blink-182,All The Small Things,Rock,23
Bloodhound Gang,The Bad Touch,R&B,12
Bon Jovi,It's My Life,Rock,20
"Braxton, Toni",He Wasn't Man Enough,Rock,37
"Braxton, Toni",Just Be A Man About It,Rock,20
"Braxton, Toni",Spanish Guitar,Rock,3
"Brock, Chad",A Country Boy Can Survive,Country,3
"Brock, Chad",Yes!,Country,20
Brooks & Dunn,You'll Always Be Loved By Me,Country,19
"Brooks, Garth",Do What You Gotta Do,Country,6
"Byrd, Tracy",Put Your Hand In Mine,Country,8
"Cagle, Chris",My Love Goes On And On,Country,11
Cam'ron,What Means The World To You,Rap,10
"Carey, Mariah",Crybaby,Rock,7
"Carey, Mariah",Thank God I Found You,Rock,20
"Carter, Aaron",Aaron's Party (Come Get It),R&B,15
"Carter, Torrey",Take That,Rock,7
Changing Faces,That Other Woman,Rock,11
"Chesney, Kenny",I Lost It,Country,20
"Chesney, Kenny",What I Need To Do,Country,17
Clark Family Experience,Meanwhile Back At The Ranch,Country,12
"Clark, Terri",A Little Gasoline,Country,6
Common,The Light,Rap,19
Counting Crows,Hanginaround,Rock,20
Creed,Higher,Rock,57
Creed,With Arms Wide Open,Rock,47
"Cyrus, Billy Ray",You Won't Be Lonely Now,Country,13
D'Angelo,Left & Right,R&B,5
D'Angelo,Untitled (How Does It Feel),R&B,17
DMX,Party Up (Up In Here),Rap,21
DMX,What You Want,Rap,20
DMX,What's My Name,Rap,11
Da Brat,That's What I'm Looking For,Rap,18
Da Brat,What'Chu Like,Rap,20
"Davidson, Clay",Unconditional,Country,20
De La Soul,All Good?,Rap,3
Destiny's Child,Independent Women Part I,Rock,28
Destiny's Child,Jumpin' Jumpin',Rock,32
Destiny's Child,Say My Name,Rock,32
"Diffie, Joe",It's Always Somethin',Country,14
"Diffie, Joe",The Quittin' Kind,Country,6
"Dion, Celine",That's The Way It Is,Rock,28
"Dixie Chicks, The",Cold Day In July,Country,10
"Dixie Chicks, The",Cowboy Take Me Away,Country,20
"Dixie Chicks, The",Goodbye Earl,Country,15
"Dixie Chicks, The",Without You,Country,20
Dr. Dre,Forgot About Dre,Rap,20
Dr. Dre,The Next Episode,Rap,20
Drama,"Left, Right, Left",Rap,13
Dream,He Loves U Not,Rock,28
"Eastsidaz, The",G'D Up,Rap,14
"Eastsidaz, The",Got Beef,Rap,2
Eiffel 65,Blue (Da Ba Dee),Electronica,20
"Elliott, Missy ""Misdemeanor""",Hot Boyz,Rap,21
Eminem,Stan,Rap,15
Eminem,The Real Slim Shady,Rap,19
Eminem,The Way I Am,Rap,10
En Vogue,Riddle,Rock,4
"Estefan, Gloria",No Me Dejes De Querer,Rock,1
"Evans, Sara",Born To Fly,Country,20
Eve,Got It All,Rap,5
Eve,Love Is Blind,Rap,16
Everclear,Wonderful,Rock,21
"Fabian, Lara",I Will Love Again,Pop,17
Fatboy Slim,The Rockafeller Skank,Electronica,12
Filter,Take A Picture,Rock,20
Foo Fighters,Learn To Fly,Rock,21
Fragma,Toca's Miracle,R&B,1
Funkmaster Flex,Do You,Rap,7
Ghostface Killah,Cherchez LaGhost,R&B,1
"Gill, Vince",Feels Like Love,Country,20
"Gilman, Billy",One Voice,Country,19
Ginuwine,None Of Ur Friends Business,Rock,15
Ginuwine,The Best Man I Can Be,Rock,12
Goo Goo Dolls,Broadway,Rock,20
"Gray, Macy",I Try,Rock,27
"Griggs, Andy",She's More,Country,20
Guy,Dancin',R&B,11
Hanson,This Time Around,Country,7
"Hart, Beth",L.A. Song,Country,12
"Heatherly, Eric",Flowers On The Wall,Country,20
"Henley, Don",Taking You Home,Rock,20
"Herndon, Ty",No Mercy,Country,8
"Hill, Faith",Breathe,Rap,53
"Hill, Faith",Let's Make Love,Rap,14
Hoku,Another Dumb Blonde,Pop,14
"Hollister, Dave",Can't Stay,Rock,4
Hot Boys,I Need A Hot Girl,Rap,13
"Houston, Whitney",Could I Have This Kiss Forever,Rock,19
"Houston, Whitney",I Learned From The Best,Rock,11
"Houston, Whitney",My Love Is Your Love,Rock,28
"Houston, Whitney","Same Script, Different Cast",Rock,9
IMx,Stay The Night,Rap,20
Ice Cube,You Can Do It,Rap,12
Ideal,Whatever,R&B,18
"Iglesias, Enrique",Be With You,Latin,20
"Iglesias, Enrique",Rhythm Divine,Latin,17
J-Shin,One Night Stand,R&B,17
Ja Rule,Between Me And You,Rap,20
"Jackson, Alan",It Must Be Love,Country,20
"Jackson, Alan",Pop A Top,Country,17
"Jackson, Alan",www.memory,Country,15
Jagged Edge,He Can't Love U,Rock,20
Jagged Edge,Let's Get Married,Rock,24
Janet,Doesn't Really Matter,Rock,24
Jay-Z,Anything,Rap,8
Jay-Z,Big Pimpin',Rap,20
Jay-Z,Do It Again (Put Ya Hands Up),Rap,9
Jay-Z,Hey Papi,Rap,15
Jay-Z,I Just Wanna Love U (Give It 2 Me),Rap,21
"Jean, Wyclef",911,Rap,19
Joe,I Wanna Know,Rock,44
Joe,Treat Her Like A Lady,Rock,17
"John, Elton",Someday Out Of The Blue,Rock,15
"Jones, Donell",Where I Wanna Be,Rock,20
"Jordan, Montell",Get It On.. Tonite,Rap,32
Juvenile,U Understand,Rap,6
Kandi,Don't Think I'm Not,Rock,24
"Keith, Toby",Country Comes To Town,Country,15
"Keith, Toby",How Do You Like Me Now?!,Country,20
Kelis,Caught Out There,R&B,12
Kenny G,Auld Lang Syne (The Millenium Mix),Jazz,5
Kid Rock,Only God Knows Why,Rock,20
"Kravitz, Lenny",I Belong To You,Rock,9
Kumbia Kings,U Don't Love Me,R&B,10
LFO,I Don't Wanna Kiss You Goodnight,Rock,5
LFO,West Side Story,Rock,4
LL Cool J,Imagine That,Rap,2
"Larrieux, Amel",Get Up,R&B,3
"Lawrence, Tracy",Lessons Learned,Country,20
"Levert, Gerald",Baby U Are,R&B,5
"Levert, Gerald",Mr. Too Damn Good,R&B,8
Lil Bow Wow,Bounce With Me,Rap,20
Lil Wayne,Tha Block Is Hot,Rap,11
Lil' Kim,How Many Licks?,Rap,9
Lil' Kim,No Matter What They Say,Rap,10
Lil' Mo,Ta Da,Rap,7
Lil' Zane,Callin' Me,Rap,13
Limp Bizkit,N 2 Gether Now,Rock,11
Limp Bizkit,Re-Arranged,Rock,18
Limp Bizkit,Rollin',Rock,17
Lonestar,Amazed,Country,55
Lonestar,Smile,Country,20
Lonestar,What About Now,Country,20
"Lopez, Jennifer",Feelin' Good,Latin,17
"Loveless, Patty",That's The Kind Of Mood I'm In,Country,14
Lox,"Ryde or Die, Chick",Rap,7
Lucy Pearl,Dance Tonight,R&B,19
Ludacris,What's Your Fantasy,Rap,22
M2M,Don't Say You Love Me,Pop,12
M2M,Mirror Mirror,Pop,18
Madison Avenue,Don't Call Me Baby,Electronica,20
Madonna,American Pie,Rock,9
Madonna,Music,Rock,24
"Martin, Ricky",Private Emotion,Latin,5
"Martin, Ricky",Shake Your Bon-Bon,Latin,18
"Martin, Ricky",She Bangs,Latin,18
Mary Mary,Shackles (Praise You),Rock,20
Master P,Souljas,Rap,1
"McBride, Martina",Love's The Only House,Country,20
"McBride, Martina",There You Are,Country,13
"McEntire, Reba",I'll Be,Country,20
"McEntire, Reba",What Do You Say,Country,20
"McGraw, Tim",My Best Friend,Country,21
"McGraw, Tim",My Next Thirty Years,Country,20
"McGraw, Tim",Some Things Never Change,Country,14
"McKnight, Brian",Stay Or Let It Go,Rock,8
"Messina, Jo Dee",Because You Love Me,Country,13
"Messina, Jo Dee",That's The Way,Country,20
Metallica,I Disappear,Rock,20
Metallica,No Leaf Clover (Live),Rock,10
Montgomery Gentry,Daddy Won't Sell The Farm,Country,6
"Montgomery, John Michael",The Little Girl,Country,20
"Moore, Chante",Straight Up,Rock,9
"Moore, Mandy",I Wanna Be With You,Pop,23
"Mumba, Samantha",Gotta Tell You,Rock,22
Musiq,Just Friends (Sunny),Rap,20
Mya,Case Of The Ex (Whatcha Gonna Do),Rock,30
Mya,The Best Of Me,Rock,17
Mystikal,Shake Ya Ass,Rap,20
N'Sync,Bye Bye Bye,Rock,23
N'Sync,It's Gonna Be Me,Rock,25
N'Sync,This I Promise You,Rock,26
Nas,You Owe Me,R&B,16
Nelly,(Hot S**t) Country Grammar,Rap,34
Next,Wifey,Rock,21
Nine Days,Absolutely (Story Of A Girl),Rock,27
Nine Days,If I Am,Rock,5
No Doubt,Simple Kind Of Life,Rock,13
Nu Flavor,3 Little Words,R&B,9
"Offspring, The",Original Prankster,Rock,9
"Paisley, Brad",Me Neither,Country,4
"Paisley, Brad",We Danced,Country,20
Papa Roach,Last Resort,Rock,20
Pearl Jam,Nothing As It Seems,Rock,6
Pink,Most Girls,Rock,27
Pink,There U Go,Rock,32
"Price, Kelly",As We Lay,Rock,8
"Price, Kelly",Love Sets You Free,Rock,4
"Price, Kelly",You Should've Told Me,Rock,20
Profyle,Liar,R&B,20
Puff Daddy,Best Friend,Rap,5
Q-Tip,Breathe And Stop,Rock,5
R.E.M.,The Great Beyond,Rock,14
Rascal Flatts,Prayin' For Daylight,Country,20
"Raye, Collin",Couldn't Last A Moment,Country,20
Red Hot Chili Peppers,Californication,Rock,19
Red Hot Chili Peppers,Otherside,Rock,22
"Rimes, LeAnn",Big Deal,Country,20
"Rimes, LeAnn",Can't Fight The Moonlight,Country,20
"Rimes, LeAnn",I Need You,Country,25
"Rogers, Kenny",Buy Me A Rose,Country,20
Ruff Endz,No More,Rock,26
Sammie,I Like It,Rock,20
Santana,"Maria, Maria",Rock,26
Savage Garden,Crash And Burn,Rock,20
Savage Garden,I Knew I Loved You,Rock,33
SheDaisy,Deck The Halls,Country,2
SheDaisy,I Will.. But,Country,20
SheDaisy,This Woman Needs,Country,9
"Sheist, Shade",Where I Wanna Be,Rap,5
Shyne,Bad Boyz,Rap,15
"Simpson, Jessica",I Think I'm In Love With You,Pop,16
"Simpson, Jessica",Where You Are,Rock,6
Sisqo,Got To Get It,Rock,20
Sisqo,Incomplete,Rock,26
Sisqo,Thong Song,Rock,28
Sister Hazel,Change Your Mind,Rock,20
Smash Mouth,Then The Morning Comes,Rock,26
"Smith, Will",Freakin' It,Rap,4
Son By Four,A Puro Dolor (Purest Of Pain),Latin,26
Sonique,It Feels So Good,Rock,24
SoulDecision,Faded,Rock,24
"Spears, Britney",From The Bottom Of My Broken Heart,Rock,20
"Spears, Britney",Lucky,Rock,11
"Spears, Britney",Oops!.. I Did It Again,Rock,20
"Spencer, Tracie",Still In My Heart,Rock,3
Splender,I Think God Can Explain,R&B,12
Sting,Desert Rose,Rock,26
Stone Temple Pilots,Sour Girl,Rock,13
"Stone, Angie",No More Rain (In This Cloud),R&B,17
"Strait, George",Go On,Country,20
"Strait, George",The Best Day,Country,20
Sugar Ray,Falls Apart,Rock,20
TLC,Dear Lie,Rock,7
Tamar,If You Don't Wanna Love Me,Rock,6
Tamia,Can't Go For That,Rock,5
Third Eye Blind,Deep Inside Of You,Rock,12
Third Eye Blind,Never Let You Go,Rock,22
"Thomas, Carl",Emotional,Rock,20
"Thomas, Carl",I Wish,Rock,20
"Thomas, Carl",Summer Rain,Rock,11
"Tippin, Aaron",Kiss This,Country,20
Train,Meet Virginia,Rock,27
Trick Daddy,Shut Up,Rap,11
Trina,Pull Over,Rap,4
"Tritt, Travis",Best Of Intentions,Country,22
Tuesday,I Know,Rock,2
"Urban, Keith",Your Everything,Country,16
Usher,Pop Ya Collar,Rock,7
"Vassar, Phil",Carlene,Country,19
"Vassar, Phil",Just Another Day In Paradise,Country,20
Vertical Horizon,Everything You Want,Rock,41
Vertical Horizon,You're A God,Rock,21
Vitamin C,Graduation (Friends Forever),Rock,12
Vitamin C,The Itch,Rock,9
"Walker, Clay","Live, Laugh, Love",Country,11
"Walker, Clay",The Chain Of Love,Country,20
"Wallflowers, The",Sleepwalker,Rock,6
Westlife,Swear It Again,Rock,20
"Williams, Robbie",Angels,Rock,19
"Wills, Mark",Back At One,Country,18
"Worley, Darryl",When You Need My Love,Country,15
"Wright, Chely",It Was,R&B,10
Yankee Grey,Another Nine Minutes,Country,8
"Yearwood, Trisha",Real Live Woman,Country,6
Ying Yang Twins,Whistle While You Twurk,Rap,14
Zombie Nation,Kernkraft 400,Rock,2
matchbox twenty,Bent,Rock,39
